r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.04   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.05   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.06   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.06   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.07   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.14   k: 7.00
12.08   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.14   k: 7.00
12.09   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.14   k: 7.00
12.10   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.14   k: 7.00
12.10   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.11   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.12   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.13   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.14   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.14   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.15   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.16   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.17   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.17   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.18   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.19   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.20   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.13   k: 7.00
12.21   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.21   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.22   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.23   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.24   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.24   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.25   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.26   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.27   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.27   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.28   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.29   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.30   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.31   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.31   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.32   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.12   k: 7.00
12.33   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.34   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.11   k: 7.00
12.35   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.35   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.36   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.37   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.38   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.39   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.39   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.40   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.41   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.42   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.42   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.43   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.44   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.45   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.46   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.46   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.47   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.48   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.49   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.49   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.07   k: 7.00
12.50   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.51   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.52   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.53   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.53   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.54   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.55   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.56   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.56   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.57   r_f_set: 0.00   Flow_SFM: 0.03   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.58   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.59   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.60   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.60   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.10   k: 7.00
12.61   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.62   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.63   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.64   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
12.64   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.65   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
12.66   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
