  r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.57   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.58   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.58   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.59   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
16.60   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.61   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.62   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.62   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
16.63   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
16.64   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
16.65   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.66   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.66   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.67   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.68   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
16.69   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
16.69   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.70   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.71   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.72   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.73   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.73   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.74   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.75   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.76   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.76   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.77   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.78   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.79   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.80   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.80   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.81   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.82   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.83   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.83   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.84   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.85   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.86   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.87   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.87   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.88   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.89   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.90   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.91   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.91   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.92   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.93   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.94   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.94   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
16.95   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.96   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.97   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.97   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.98   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
16.99   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.00   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.01   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.01   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.02   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.03   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.04   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.05   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.05   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.06   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.07   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.08   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.08   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.09   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.10   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.11   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.12   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.12   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.13   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.14   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.15   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.16   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.16   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.17   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.18   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.19   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.19   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.20   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.21   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.22   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.22   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.23   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.24   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.25   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.26   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.26   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.27   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.28   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.29   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.30   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.30   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.31   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.32   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.33   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.33   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.34   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.35   r_f_set: 0.00   Flow_SFM: 0.02   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.36   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.37   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.37   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.38   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.39   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.40   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.40   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.41   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.42   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.43   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.09   k: 7.00
17.44   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.44   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.45   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.46   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.47   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.47   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.08   k: 7.00
17.48   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.49   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.50   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.51   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.51   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.52   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.53   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.54   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.54   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.55   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.56   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.57   r_f_set: 0.00   Flow_SFM: 0.01   DP: -0.02   Flow_SDP: -0.07   k: 7.00
17.57   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
17.58   r_f_set: 0.00   Flow_SFM: 0.00   DP: -0.02   Flow_SDP: -0.06   k: 7.00
